iter	Passed	Remaining
792	30998	164451
793	31035	164402
794	31071	164346
795	31106	164287
796	31139	164217
797	31176	164165
798	31212	164111
799	31244	164031
800	31278	163969
801	31315	163919
802	31375	163987
803	31430	164033
804	31485	164078
805	31540	164118
806	31607	164223
807	31661	164263
808	31721	164334
809	31785	164423
810	31850	164517
811	31914	164603
812	31976	164682
813	32050	164819
814	32132	165000
815	32212	165168
816	32280	165273
817	32354	165408
818	32404	165425
819	32458	165459
820	32540	165634
821	32611	165756
822	32680	165864
823	32745	165952
824	32812	166048
825	32885	166179
826	32963	166330
827	33041	166484
828	33120	166640
829	33198	166793
830	33281	166970
831	33357	167108
832	33412	167145
833	33471	167195
834	33544	167321
835	33623	167471
836	33691	167571
837	33769	167718
838	33849	167875
839	33931	168041
840	34013	168208
841	34084	168318
842	34152	168414
843	34224	168525
844	34294	168631
845	34363	168728
846	34414	168742
847	34480	168825
848	34559	168972
849	34645	169152
850	34721	169282
851	34798	169415
852	34863	169493
853	34899	169429
854	34935	169367
855	34972	169306
856	35008	169243
857	35048	169195
858	35085	169138
859	35121	169072
860	35157	169007
861	35192	168939
862	35228	168876
863	35264	168812
864	35300	168750
865	35337	168690
866	35398	168744
867	35448	168746
868	35522	168866
869	35584	168921
870	35624	168877
871	35661	168817
872	35697	168755
873	35729	168672
874	35763	168599
875	35799	168535
876	35832	168458
877	35865	168380
878	35901	168317
879	35943	168280
880	35980	168220
881	36018	168165
882	36056	168113
883	36089	168034
884	36122	167959
885	36156	167887
886	36192	167825
887	36227	167754
888	36260	167678
889	36294	167605
890	36329	167541
891	36364	167471
892	36400	167409
893	36446	167393
894	36479	167316
895	36514	167249
896	36556	167214
897	36592	167150
898	36627	167086
899	36661	167014
900	36696	166947
901	36732	166883
902	36767	166816
903	36802	166749
904	36837	166685
905	36871	166615
906	36906	166547
907	36940	166475
908	36974	166407
909	37012	166354
910	37048	166292
911	37080	166212
912	37114	166142
913	37152	166086
914	37185	166015
915	37220	165948
916	37252	165870
917	37283	165787
918	37315	165708
919	37348	165632
920	37388	165587
921	37417	165498
922	37452	165430
923	37487	165368
924	37520	165291
925	37553	165218
926	37586	165146
927	37619	165073
928	37652	164996
929	37687	164934
930	37723	164871
931	37757	164802
932	37792	164740
933	37826	164670
934	37860	164601
935	37895	164539
936	37929	164470
937	37961	164392
938	37991	164304
939	38025	164236
940	38058	164163
941	38094	164106
942	38129	164041
943	38161	163965
944	38200	163918
945	38243	163890
946	38278	163827
947	38315	163770
948	38348	163699
949	38387	163651
950	38425	163600
951	38464	163553
952	38499	163492
953	38537	163440
954	38572	163376
955	38606	163311
956	38641	163247
957	38677	163187
958	38712	163126
959	38745	163054
960	38779	162986
961	38811	162913
962	38847	162852
963	38879	162777
964	38912	162705
965	38948	162650
966	38983	162584
967	39016	162514
968	39052	162457
969	39114	162505
970	39152	162457
971	39188	162397
972	39223	162335
973	39259	162278
974	39291	162202
975	39324	162132
976	39359	162070
977	39396	162015
978	39433	161961
979	39469	161906
980	39503	161840
981	39539	161781
982	39573	161715
983	39607	161650
984	39649	161616
985	39688	161571
986	39728	161528
987	39763	161470
988	39801	161421
989	39837	161361
990	39872	161300
991	39904	161225
992	39935	161151
993	39973	161100
994	40007	161035
995	40040	160965
996	40076	160907
997	40109	160840
998	40142	160769
999	40175	160702
1000	40213	160651
1001	40252	160607
1002	40289	160555
1003	40321	160483
1004	40358	160428
